id,popularity,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
237336,19.218333333333334,生我养我的地方,1,10,zh,0,0.0,,False,/kGBJrZcdUapLE7BOyFzdZsfDMs5.jpg,2023-10-17,2023-11-01,,True,生我养我的地方,/yaEYWDaiHjhz3ZhGFh8Wu6RwDOf.jpg,Scripted,Returning Series,,Reality,,,,CN,,Hunan Television,China,0
237337,1.5423333333333331,Wandee Goodday,1,1,th,0,0.0,Sexy surgeon Wandee becomes involved with boxer Yeo Yak and their relationship develops from friends with benefits to something more profound.,False,/disqsWWytodzN26GfA8IEazm8g8.jpg,,,,True,วันดีวิทยา,/c3G2Q5yv08JOgI7Yi0TVd6lAHoN.jpg,Scripted,Planned,,"Comedy,Romance",Nottakorn,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237338,2.485,High School Frenemy,1,1,th,0,0.0,"When two rival school campuses merge, former best friends Saint and Shin's lingering feud ignites a classroom war, forcing teachers to reconcile the stubborn pair and end the fighting.",False,,,,,True,มิตรภาพ คราบศัตรู,/cmZ4xACYSZnVA8sqc5OBKDuW8Y7.jpg,Scripted,Planned,,Drama,,th,"YouTube, GMM 25, Viu, oneD",TH,ภาษาไทย,"The One Enterprise, GMMTV",TH,0
237339,0.98,My Love Mix-Up,1,1,th,0,0.0,"Atom has a crush on Mudmee, the girl in the seat next to him in class. But he despairs when he borrows her eraser and sees she's written the name of another boy, Kongthap, on it. To make matters more confusing, Kongthap sees Atom holding that very eraser and thinks Atom has a crush on him!",False,/28HgKYtH7pgXGwXjPR7BJYtRYBK.jpg,,,,True,เขียนรักด้วยยางลบ,/p6mzpCpFWoPKhU5uzaKeExjBQbf.jpg,Scripted,Planned,"If we write our crush's name on an eraser, our love will be reciprocated.","Comedy,Romance",Wataru Hinekure,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237340,1.489,力争上游旱鸭子季,1,2,zh,0,0.0,"Swimming is full of passion and pays homage to the spirit of the Asian Games. The original program ""Strive to the Top"" for swimming training and competition is full of enthusiasm. The show is composed of Fu Yuan Hui, a young girl who won the women's 50-meter and 100-meter backstroke events at the 2014 Incheon Asian Games, and ""Fu Yuan Hui,"" who defeated Phelps twice in international competitions and achieved four consecutive butterfly championships in the National Games. Wu Peng, the first person in history, serves as the coach, and actor Chen Xiao Jun, who has learned swimming since childhood and was a former professional swimmer, serves as the swimming assistant coach, leading a total of 10 students including Liu Wei, Ma Zhe, Sun Yi Hang, Tian Xuan Ning, Wang Jia Xuan, Hetibal, Yang Moi, ONER Yue Yue, Zhong Li Li and Zhao Rang who learned swimming and finally competed in the entertainment industry invitational competition.

(Source: Chinese = Youku || Translation = MyDramaList)",False,,2023-10-05,2023-10-12,,True,力争上游旱鸭子季,,Scripted,Returning Series,,Reality,,,,CN,,,CN,0
237341,2.213,Radio,1,1,id,0,0.0,,False,/s1WRCj7IjmE8Ml3gCsBzSbktduL.jpg,2023-10-13,2023-10-13,,True,Radio,/aeWQq9I2xKCJQiGf2be7Xv56eCh.jpg,Miniseries,Returning Series,,Crime,,,,ID,,Vision+ Pictures,,0
237342,0.8166666666666668,บ้านหลอน,1,1,th,0,0.0,,False,,,,,True,บ้านหลอน,,Scripted,Returning Series,,,,th,,TH,ภาษาไทย,,,0
237343,1.590666666666667,Only Boo!,1,1,th,0,0.0,"Khao Kaeng sells curry-over-rice at a boys school. Moo is a grade twelve student who dreams of becoming an idol. He simultaneously wants love and make his dream come true, but it seems he can not have it.",False,/a6ahUMQTKGj9X9zIwlSDyCh4kdg.jpg,,,,True,แค่ที่แกง,/oQssO00C6LlEeUF9HrzY1igHpbW.jpg,Scripted,Planned,,"Comedy,Romance",Mamiao,th,"YouTube, GMM 25",TH,ภาษาไทย,GMMTV,Thailand,0
237344,1.362,The Trainee,1,1,th,0,0.0,"Ryan, an eager intern, navigates workplace challenges and unexpected feelings for his stern mentor Jane, while bonding with a lively group of fellow trainees.",False,/imI5Bx1FI8OuqOhAnEqqhPHcMh6.jpg,,,,True,ฝึกงานเทอมนี้ รักพี่ได้มั้ย,/aDuMMSpoFP9bkp6mBJpRW5Ro0Ym.jpg,Scripted,Planned,,Drama,,th,GMM 25,TH,ภาษาไทย,GMMTV,Thailand,0
237345,0.82,Girls in the City,1,1,id,0,0.0,,False,/ac61Fs069vaCviR8oJHYH22SpzX.jpg,2019-03-22,2019-03-22,,False,Girls in the City,/ul3xv04VAx07CUvLTLcH8MYGeaS.jpg,Miniseries,Ended,,Drama,,id,,ID,Bahasa indonesia,"Screenplay Films, SinemArt",,0
237346,1.678,Ploy's Yearbook,1,1,th,0,0.0,"The love stories of five girls named Ploy: same name, same classroom, but completely different personalities. 'Ploy's Yearbook' takes viewers back to the era of flared skirts and shorts, an age filled with dreams and the bond of friends. What will happen when the friendgroup members cross paths again fifteen years later? Although many things may have changed, their hearts remain the same.",False,/gT8LRAbAgFpMNCMClMEEFoTJ1rT.jpg,,,,True,หนังสือรุ่นพลอย,/gvSAxJJLCQd8nE8phEHJGZwV9X8.jpg,Scripted,Planned,,Drama,Bhapimol,th,"GMM 25, Viu, oneD",TH,ภาษาไทย,GMMTV,TH,0
237347,2.3296666666666668,End of Summer,1,6,sv,0,0.0,"On a summer's evening in 1984, a five-year-old boy vanishes in rural southern Sweden. The police investigation fails to find the truth, leaving behind rumors, suspicion, and a grieving family. Twenty years later, the boy's older sister Vera is leading a group therapy session in Stockholm, when a young man describes a strangely familiar childhood memory of a disappearance. A shaken Vera travels home to her fractured family to uncover, once and for all, what really happened in the summer that never ended.",False,/3mdQhvNCpW4OsKBnTk6LPAIm26C.jpg,,,,True,Slutet på sommaren,/Ai8t4sVqDHr8BskSWpewygG2RMI.jpg,Scripted,Returning Series,,"Drama,Mystery,Thriller","Björn Carlström, Stefan Thunberg",sv,Viaplay,SE,svenska,"Harmonica Films, SF Studios, Film i Skåne",Sweden,55
237348,1.1676666666666666,My Precious The Series,1,2,th,0,0.0,"As punishment for playing a prank, the class troublemaker has to be supervised by the model student—but soon they catch feelings for each other.",False,/1sEBFf5OYsNAqL5ARQoy9VgXTlQ.jpg,,,,True,รักแรกโคตรลืมยาก เดอะซีรีส์,/jaSIS8JRp5jmdj4v1X62ilpkkXX.jpg,Scripted,In Production,,"Drama,Romance",Jiu Ba Dao,th,"YouTube, GMM 25, oneD",TH,ภาษาไทย,"The One Enterprise, GMMTV",TH,0
237349,0.6,Ek Mahanayak - Dr B R Ambedkar,1,1,en,0,0.0,"Ek Mahanayak is the story of Dr. Bhimrao Ambedkar, the founding father of the Constitution of India. For the first time, the story of Babasaheb will be shown on television through serial. The show will include inspiring parts of Babasaheb's life. The story of this show will begin from the childhood of Babasaheb. In which Bhimrao Ambedkar's role will be seen playing child artist Aayudh Bhanushali. Later Prasad Jawade will be seen in the role of young Baba Saheb.",False,/iIVcT6K1eELMj3tA12B960gzV6n.jpg,2019-12-17,2019-12-17,,True,Ek Mahanayak - Dr B R Ambedkar,/nUWsTE6fXf7tv02bI2pEdnUntjK.jpg,Scripted,Returning Series,,"Family, Drama, Reality",Imtiaz Punjabi,,SonyLIV,US,,,IN,0
237350,22.268,Merajut Dendam,1,5,id,0,0.0,"Rasya and Nina are a married couple who live happily. They live with their two children. As a woman, Nina is considered to have everything so many people envy her. She has a handsome husband who works as a successful lawyer. However, Nina's perfect life turns out to be only temporary. Rasya was suddenly accused of being a suspect in an obscenity case. The problem became even more complicated when a video of Rasya's scandal went viral, showing an exciting video between Rasya and a woman named Sarah. Surprisingly, Nina looks calm and is always there to defend her husband. It turns out that Nina was secretly making plans, which Rasya didn't even know about.",False,/ynKO0LRcOAVCTEq3LQBWjhQSLVU.jpg,2023-10-13,2023-10-27,,True,Merajut Dendam,/l6Xh2Boo21v1rsnuBpNLkPNonPN.jpg,Miniseries,Returning Series,,Drama,Razka Robby Ertanto,,Vidio,ID,,"Vidio, Sky Films",ID,0
237351,2.564,Eppure cadiamo felici,1,8,it,0,0.0,,False,/7UxQRVED0COHjvmVH3geEgvT5xe.jpg,2023-10-06,2023-10-06,https://www.raiplay.it/programmi/eppurecadiamofelici,True,Eppure cadiamo felici,/dJV5GdiU1DdNRxcS1WkcCDMhBE7.jpg,Scripted,Returning Series,,"Comedy, Drama","Valerio D'Annunzio, Vanessa Picciarelli",it,RaiPlay,IT,Italiano,,,0
